Author_id,Author
9840,MARK P O MORFORD
12681,ROBERT J LENARDON
12342,RICHARD BRUCE WRIGHT
1895,CARLO DESTE
5164,GINA KOLATA
4185,ELIZABETH WAYLAND BARBER
3831,E J W BARBER
503,AMY TAN
12611,ROBERT COWLEY
13389,SCOTT TUROW
13725,STACY KEACH
3041,DAVID CORDINGLY
665,ANN BEATTIE
3003,DAVID ADAMS RICHARDS
8340,KENSINGTON
13495,SHEILA HETI
6069,J R KAISER
6088,JACK CANFIELD
9857,MARK VICTOR HANSEN
6820,JENNIFER READ HAW
9144,LOREN D ESTLEMAN
7346,JOHN KENNETH
12670,ROBERT HENDRICKSON
7845,JULIA OLIVER
7317,JOHN GRISHAM
14756,TONI MORRISON
14464,THE ONION
13373,SCOTT DIKKERS
10627,MIKE LOEW
2138,CELIA BROOKS BROWN
6474,JANE NORAIKA
11917,PHILIP WEBB
6070,J R PARRISH
10106,MARYKATE AMP
1021,ASHLEY OLSEN
12862,ROBYNN CLAIRDAY
8144,KATHLEEN DUEY
7967,KAREN A BALE
1431,BILL DODGE
12310,RICH SHAPERO
10362,MICHAEL CRICHTON
2737,CS LEWIS
994,ARTHUR PHILLIPS
13861,STEPHEN JARAMILLO
10770,MORDECAI RICHLER
10490,MICHAEL PANOFSKY
618,ANETTE GRUBE
4055,ELEANOR COONEY
2873,DANIEL ALTIERI
2273,CHARLOTTE LINK
12427,RICHARD NORTH PATTERSON
8486,KRISTIAN LUTZE
9847,MARK SALZMAN
5508,HARPER LEE
8626,LAURA HILLENBRAND
1130,BARBARA KINGSOLVER
7022,JO DERESKE
6434,JANE AUSTEN
3530,DOLORES KRIEGER
803,ANNE RIVERS SIDDONS
3246,DEAN KOONTZ
10025,MARY HIGGINS CLARK
11380,PATRICIA CORNWELL
6610,JD ROBB
9411,MAEVE BINCHY
8630,LAURA J MIXON
14628,TIM LAHAYE
6862,JERRY B JENKINS
1314,BERNIE S SIEGEL MD
12752,ROBERT PENN WARREN
5458,HANS JOHANNES HOEFER
9815,MARK HELPRIN
11184,O CARL SIMONTON MD
6238,JAMES CREIGHTON PHD
13783,STEPHA
2494,CHUCK HILL
3105,DAVID IGLEHART
8595,LARRY MCMURTRY
14223,SUZANNE FISHER STAPLES
10560,MICHEL TOURNIER
1879,CARL SAGAN
238,ALEKSANDR ZINOVIEV
809,ANNE TYLER
7607,JOSEPH CONRAD
3333,DEEPAK CHOPRA
9925,MARTIN GREENBERG
14528,THOMAS HARDY
2223,CHARLES NOLAND
13539,SHERRI BAKER
14910,VALERIE FRANKEL
1271,BENJAMIN HOFF
11018,NICCOLO MACHIAVELLI
5392,H JACKSON BROWN JR
12560,ROBERT A HEINLEIN
11908,PHILIP PULLMAN
10486,MICHAEL ONDAATJE
13264,SANDRA LEVY CEREN
11269,P J OROURKE
10621,MIKE GAYLE
13775,STEL PAVLOU
13326,SARAH PAYNE STUART
2851,DAN QUAYLE
3586,DONALD F KETTL
3594,DONALD KETTL
3069,DAVID FRUM
9195,LOUIS LAMOUR
6611,JD SALINGER
7203,JOHN BERENDT
6796,JENNIFER CRUSIE
6455,JANE HELLER
10505,MICHAEL RIPS
13642,SIMON MAWER
15281,WILLIAM ABRAHAMS
12787,ROBERT T KIYOSAKI
13465,SHARON L LECHTER
8287,KEN FOLLETT
7280,JOHN F LOVE
12641,ROBERT G ALLEN
9192,LOUIS DE BERNIERES
11298,PAM PROCTOR
414,ALLEN M SCHOEN
10710,MITCH ALBOM
10422,MICHAEL JAN FRIEDMAN
12958,RONALD D MOORE
5199,GLENDON SWARTHOUT
10961,NEAL BARRETT JR
6060,J MICHAEL STRACZYNSKI
3155,DAVID MORRELL
13248,SANDRA BROWN
6337,JAMES PATTERSON
11757,PETER DE JONGE
14035,STUART WOODS
5973,IRIS JOHANSEN
2829,DAN BROWN
7130,JOE HUTSKO
661,ANITA SHREVE
711,ANN RULE
8902,LEWIS GRIZZARD
11611,PAUL THEROUX
2194,CHARLES HICKEY
14681,TODD LIGHTY
7422,JOHN OBRIEN
13867,STEPHEN KING
1256,BEN MEZRICH
1442,BILL HAND
14697,TOM CLANCY
